agents_count,success_count_cbs,time_cbs,flowtime_cbs,makespan_cbs,SIC_cbs,success_count_cbs_ds,time_cbs_ds,flowtime_cbs_ds,makespan_cbs_ds,SIC_cbs_ds,success_count_ecbs_30,time_ecbs_30,flowtime_ecbs_30,makespan_ecbs_30,SIC_ecbs_30,success_count_ecbs_179,time_ecbs_179,flowtime_ecbs_179,makespan_ecbs_179,SIC_ecbs_179
1,True,0.067,180.0,180.0,180.0,True,0.053,180.0,180.0,180.0,True,0.057,180,180,180,True,0.058,180,180,180
2,True,0.1,261.0,180.0,180.0,True,0.097,261.0,180.0,180.0,True,0.096,261,180,180,True,0.102,261,180,180
3,True,0.138,352.0,180.0,180.0,True,0.125,352.0,180.0,180.0,True,0.129,352,180,180,True,0.125,352,180,180
4,True,0.203,719.0,367.0,367.0,True,0.201,719.0,367.0,367.0,True,0.209,719,367,367,True,0.201,719,367,367
5,True,0.231,907.0,367.0,367.0,True,0.23,907.0,367.0,367.0,True,0.235,907,367,367,True,0.22,907,367,367
6,True,0.269,1296.0,389.0,389.0,True,0.274,1296.0,389.0,389.0,True,0.28,1296,389,389,True,0.272,1296,389,389
7,True,0.334,1752.0,456.0,456.0,True,0.336,1752.0,456.0,456.0,True,0.338,1752,456,456,True,0.333,1752,456,456
8,True,0.432,2076.0,456.0,456.0,True,0.451,2076.0,456.0,456.0,True,0.425,2076,456,456,True,0.414,2076,456,456
9,True,0.432,2132.0,456.0,456.0,True,0.426,2132.0,456.0,456.0,True,0.443,2132,456,456,True,0.414,2132,456,456
10,True,0.455,2160.0,456.0,456.0,True,0.444,2160.0,456.0,456.0,True,0.477,2160,456,456,True,0.457,2160,456,456
11,True,0.49,2376.0,456.0,456.0,True,0.5,2376.0,456.0,456.0,True,0.512,2376,456,456,True,0.514,2376,456,456
12,True,0.549,2521.0,456.0,456.0,True,0.561,2521.0,456.0,456.0,True,0.567,2521,456,456,True,0.562,2521,456,456
13,True,0.597,2586.0,456.0,456.0,True,0.619,2586.0,456.0,456.0,True,0.62,2586,456,456,True,0.603,2586,456,456
14,True,0.655,2595.0,456.0,456.0,True,0.688,2595.0,456.0,456.0,True,0.7,2595,456,456,True,0.672,2595,456,456
15,True,0.719,2617.0,456.0,456.0,True,0.732,2617.0,456.0,456.0,True,0.752,2617,456,456,True,0.73,2617,456,456
16,True,0.833,2833.0,456.0,456.0,True,0.811,2833.0,456.0,456.0,True,0.859,2833,456,456,True,0.83,2833,456,456
17,True,0.744,3201.0,456.0,456.0,True,0.777,3201.0,456.0,456.0,True,0.807,3201,456,456,True,0.78,3201,456,456
18,True,0.802,3609.0,456.0,456.0,True,0.829,3609.0,456.0,456.0,True,0.855,3609,456,456,True,0.844,3609,456,456
19,True,0.908,4134.0,525.0,525.0,True,0.9,4134.0,525.0,525.0,True,0.881,4134,525,525,True,0.926,4134,525,525
20,True,0.943,4204.0,525.0,525.0,True,0.972,4204.0,525.0,525.0,True,0.953,4204,525,525,True,0.932,4204,525,525
21,True,0.978,4243.0,525.0,525.0,True,1.001,4243.0,525.0,525.0,True,1.001,4243,525,525,True,0.964,4243,525,525
22,True,1.072,4705.0,525.0,525.0,True,1.047,4705.0,525.0,525.0,True,1.063,4705,525,525,True,1.016,4705,525,525
23,True,1.128,4795.0,525.0,525.0,True,1.087,4795.0,525.0,525.0,True,1.12,4795,525,525,True,1.062,4795,525,525
24,True,2.951,4862.0,525.0,525.0,True,2.843,4862.0,525.0,525.0,True,3.377,4862,525,525,True,3.48,4862,525,525
25,True,2.833,5355.0,525.0,525.0,True,2.792,5355.0,525.0,525.0,True,3.232,5355,525,525,True,3.248,5355,525,525
26,True,2.747,5363.0,525.0,525.0,True,2.813,5363.0,525.0,525.0,True,3.272,5363,525,525,True,3.289,5363,525,525
27,True,2.883,5562.0,525.0,525.0,True,2.981,5562.0,525.0,525.0,True,3.248,5562,525,525,True,3.417,5562,525,525
28,True,2.918,5693.0,525.0,525.0,True,3.064,5693.0,525.0,525.0,True,3.19,5693,525,525,True,3.38,5693,525,525
29,True,3.078,5938.0,525.0,525.0,True,3.072,5938.0,525.0,525.0,True,3.359,5938,525,525,True,3.295,5938,525,525
30,True,3.062,6089.0,525.0,525.0,True,3.056,6089.0,525.0,525.0,True,3.347,6089,525,525,True,3.495,6089,525,525
31,True,3.282,6307.0,525.0,525.0,True,3.271,6307.0,525.0,525.0,True,3.787,6307,525,525,True,3.615,6307,525,525
32,True,3.012,6713.0,525.0,525.0,True,3.061,6713.0,525.0,525.0,True,3.403,6713,525,525,True,3.344,6713,525,525
33,True,3.065,6982.0,525.0,525.0,True,3.159,6982.0,525.0,525.0,True,3.452,6982,525,525,True,3.316,6982,525,525
34,True,4.628,7082.0,525.0,525.0,True,4.812,7082.0,525.0,525.0,True,5.573,7082,525,525,True,5.309,7082,525,525
35,True,4.641,7312.0,525.0,525.0,True,5.234,7312.0,525.0,525.0,True,5.678,7312,525,525,True,5.557,7312,525,525
36,True,4.822,7389.0,525.0,525.0,True,5.414,7389.0,525.0,525.0,True,5.702,7389,525,525,True,5.85,7389,525,525
37,True,4.91,7682.0,525.0,525.0,True,5.149,7682.0,525.0,525.0,True,5.818,7682,525,525,True,5.589,7682,525,525
38,True,4.987,8027.0,525.0,525.0,True,5.292,8027.0,525.0,525.0,True,5.904,8027,525,525,True,5.646,8027,525,525
39,True,5.139,8460.0,525.0,525.0,True,5.118,8460.0,525.0,525.0,True,6.056,8460,525,525,True,5.796,8460,525,525
40,True,5.196,8890.0,525.0,525.0,True,5.128,8890.0,525.0,525.0,True,5.799,8890,525,525,True,5.921,8890,525,525
41,True,5.115,8959.0,525.0,525.0,True,5.096,8959.0,525.0,525.0,True,6.103,8959,525,525,True,6.125,8959,525,525
42,True,5.367,9280.0,525.0,525.0,True,5.301,9280.0,525.0,525.0,True,6.251,9280,525,525,True,5.946,9280,525,525
43,True,5.312,9616.0,525.0,525.0,True,5.464,9616.0,525.0,525.0,True,6.164,9616,525,525,True,6.01,9616,525,525
44,True,5.558,9765.0,525.0,525.0,True,5.446,9765.0,525.0,525.0,True,6.076,9765,525,525,True,6.244,9765,525,525
45,True,5.442,9894.0,525.0,525.0,True,5.55,9894.0,525.0,525.0,True,6.258,9894,525,525,True,6.568,9894,525,525
46,True,5.553,9909.0,525.0,525.0,True,5.564,9909.0,525.0,525.0,True,6.242,9909,525,525,True,6.528,9909,525,525
47,True,11.248,10450.0,541.0,541.0,,,,,,True,6.548,10450,541,541,True,6.592,10450,541,541
48,True,31.587,10549.0,541.0,541.0,,,,,,True,18.772,10549,541,541,True,18.745,10549,541,541
49,True,32.469,10650.0,541.0,541.0,,,,,,True,18.457,10650,541,541,True,18.613,10650,541,541
50,True,32.85,10691.0,541.0,541.0,,,,,,True,18.524,10691,541,541,True,18.48,10691,541,541
51,True,33.944,10990.0,541.0,541.0,,,,,,True,18.749,10990,541,541,True,19.043,10990,541,541
52,True,33.207,11270.0,541.0,541.0,,,,,,True,19.162,11270,541,541,True,19.027,11270,541,541
53,True,33.657,11389.0,541.0,541.0,,,,,,True,19.36,11389,541,541,True,18.53,11389,541,541
54,True,33.394,11862.0,541.0,541.0,,,,,,True,19.417,11862,541,541,True,18.168,11862,541,541
55,True,34.324,12299.0,541.0,541.0,,,,,,True,19.07,12299,541,541,True,19.112,12299,541,541
56,True,34.268,12568.0,541.0,541.0,,,,,,True,19.903,12568,541,541,True,18.945,12568,541,541
57,True,34.653,12945.0,541.0,541.0,,,,,,True,19.705,12945,541,541,True,18.852,12945,541,541
58,True,40.942,13376.0,541.0,541.0,,,,,,True,28.206,13376,541,541,True,26.083,13376,541,541
59,True,38.727,13723.0,541.0,541.0,,,,,,True,26.845,13723,541,541,True,25.758,13723,541,541
60,True,38.264,13831.0,541.0,541.0,,,,,,True,26.813,13831,541,541,True,26.059,13831,541,541
61,True,39.366,14317.0,541.0,541.0,,,,,,True,27.176,14317,541,541,True,25.645,14317,541,541
62,True,40.352,14559.0,541.0,541.0,,,,,,True,26.809,14559,541,541,True,25.509,14559,541,541
63,,,,,,,,,,,True,28.308,14930,541,541,True,25.804,14930,541,541
64,,,,,,,,,,,True,26.012,15344,541,541,True,24.563,15344,541,541
65,,,,,,,,,,,True,25.973,15732,541,541,True,24.831,15732,541,541
66,,,,,,,,,,,True,26.369,15752,541,541,True,24.202,15752,541,541
67,,,,,,,,,,,True,26.335,15878,541,541,True,25.086,15878,541,541
68,,,,,,,,,,,True,27.068,16343,541,541,True,24.959,16343,541,541
69,,,,,,,,,,,True,27.624,16370,541,541,True,24.739,16370,541,541
70,,,,,,,,,,,True,27.402,16672,541,541,True,24.841,16672,541,541
71,,,,,,,,,,,True,27.36,17090,541,541,True,24.726,17090,541,541
72,,,,,,,,,,,True,27.323,17267,541,541,True,25.188,17267,541,541
73,,,,,,,,,,,True,27.191,17477,541,541,True,25.227,17477,541,541
74,,,,,,,,,,,True,27.498,17974,541,541,True,25.792,17974,541,541
75,,,,,,,,,,,True,27.716,18253,541,541,True,25.322,18253,541,541
76,,,,,,,,,,,True,27.614,18276,541,541,True,25.138,18276,541,541
77,,,,,,,,,,,True,28.004,18710,541,541,True,25.693,18710,541,541
78,,,,,,,,,,,True,27.675,18988,541,541,True,25.532,18988,541,541
79,,,,,,,,,,,True,27.609,19161,541,541,True,25.716,19161,541,541
80,,,,,,,,,,,True,27.51,19301,541,541,True,26.346,19301,541,541
81,,,,,,,,,,,True,29.891,19456,541,541,True,29.786,19456,541,541
82,,,,,,,,,,,True,30.586,19694,541,541,True,29.091,19694,541,541
83,,,,,,,,,,,True,30.741,19743,541,541,True,29.366,19743,541,541
84,,,,,,,,,,,True,30.785,20069,541,541,True,29.753,20069,541,541
85,,,,,,,,,,,True,31.187,20122,541,541,True,30.535,20122,541,541
86,,,,,,,,,,,True,31.183,20421,541,541,True,30.268,20421,541,541
87,,,,,,,,,,,True,30.482,20920,541,541,True,31.554,20920,541,541
88,,,,,,,,,,,True,30.931,21030,541,541,True,30.363,21030,541,541
89,,,,,,,,,,,True,31.203,21480,541,541,True,30.76,21480,541,541
90,,,,,,,,,,,True,32.274,21482,541,541,True,30.892,21482,541,541
91,,,,,,,,,,,True,31.033,21864,541,541,True,30.432,21864,541,541
92,,,,,,,,,,,True,31.093,22141,541,541,True,30.662,22141,541,541
93,,,,,,,,,,,True,31.655,22154,541,541,True,31.204,22154,541,541
94,,,,,,,,,,,True,31.646,22346,541,541,True,31.747,22346,541,541
95,,,,,,,,,,,True,31.654,22865,541,541,True,31.336,22865,541,541
96,,,,,,,,,,,True,31.819,23289,541,541,True,31.977,23289,541,541
