agents_count,success_count_cbs,time_cbs,flowtime_cbs,makespan_cbs,SIC_cbs,success_count_cbs_ds,time_cbs_ds,flowtime_cbs_ds,makespan_cbs_ds,SIC_cbs_ds,success_count_ecbs_30,time_ecbs_30,flowtime_ecbs_30,makespan_ecbs_30,SIC_ecbs_30,success_count_ecbs_179,time_ecbs_179,flowtime_ecbs_179,makespan_ecbs_179,SIC_ecbs_179
1,True,0.002,42.0,42.0,42.0,True,0.005,42.0,42.0,42.0,True,0.002,42,42,42,True,0.001,42,42,42
2,True,0.003,74.0,42.0,42.0,True,0.009,74.0,42.0,42.0,True,0.003,74,42,42,True,0.004,74,42,42
3,True,0.006,109.0,42.0,42.0,True,0.013,109.0,42.0,42.0,True,0.004,109,42,42,True,0.005,109,42,42
4,True,0.009,111.0,42.0,42.0,True,0.008,111.0,42.0,42.0,True,0.006,111,42,42,True,0.005,111,42,42
5,True,0.011,116.0,42.0,42.0,True,0.007,116.0,42.0,42.0,True,0.006,116,42,42,True,0.008,116,42,42
6,True,0.014,132.0,42.0,42.0,True,0.008,132.0,42.0,42.0,True,0.008,132,42,42,True,0.008,132,42,42
7,True,0.015,159.0,42.0,42.0,True,0.01,159.0,42.0,42.0,True,0.008,159,42,42,True,0.01,159,42,42
8,True,0.011,182.0,42.0,42.0,True,0.011,182.0,42.0,42.0,True,0.011,182,42,42,True,0.012,182,42,42
9,True,0.012,202.0,42.0,42.0,True,0.012,202.0,42.0,42.0,True,0.013,202,42,42,True,0.016,202,42,42
10,True,0.016,207.0,42.0,42.0,True,0.015,207.0,42.0,42.0,True,0.017,207,42,42,True,0.017,207,42,42
11,True,0.017,246.0,42.0,42.0,True,0.018,246.0,42.0,42.0,True,0.019,246,42,42,True,0.017,246,42,42
12,True,0.019,263.0,42.0,42.0,True,0.019,263.0,42.0,42.0,True,0.021,263,42,42,True,0.018,263,42,42
13,True,0.02,299.0,42.0,42.0,True,0.021,299.0,42.0,42.0,True,0.021,299,42,42,True,0.019,299,42,42
14,True,0.02,351.0,52.0,52.0,True,0.023,351.0,52.0,52.0,True,0.023,351,52,52,True,0.023,351,52,52
15,True,0.022,376.0,52.0,52.0,True,0.026,376.0,52.0,52.0,True,0.026,376,52,52,True,0.024,376,52,52
16,True,0.029,437.0,61.0,61.0,True,0.027,437.0,61.0,61.0,True,0.028,437,61,61,True,0.025,437,61,61
17,True,0.03,507.0,70.0,70.0,True,0.031,507.0,70.0,70.0,True,0.032,507,70,70,True,0.028,507,70,70
18,True,0.03,528.0,70.0,70.0,True,0.033,528.0,70.0,70.0,True,0.034,528,70,70,True,0.031,528,70,70
19,True,0.035,542.0,70.0,70.0,True,0.039,542.0,70.0,70.0,True,0.037,542,70,70,True,0.035,542,70,70
20,True,0.036,590.0,70.0,70.0,True,0.036,590.0,70.0,70.0,True,0.037,590,70,70,True,0.033,590,70,70
21,True,0.035,623.0,70.0,70.0,True,0.037,623.0,70.0,70.0,True,0.037,623,70,70,True,0.034,623,70,70
22,True,0.038,643.0,70.0,70.0,True,0.04,643.0,70.0,70.0,True,0.04,643,70,70,True,0.037,643,70,70
23,True,0.041,665.0,70.0,70.0,True,0.041,665.0,70.0,70.0,True,0.041,665,70,70,True,0.038,665,70,70
24,True,0.044,673.0,70.0,70.0,True,0.043,673.0,70.0,70.0,True,0.043,673,70,70,True,0.039,673,70,70
25,True,0.045,691.0,70.0,70.0,True,0.045,691.0,70.0,70.0,True,0.045,691,70,70,True,0.04,691,70,70
26,True,0.049,715.0,70.0,70.0,True,0.048,715.0,70.0,70.0,True,0.048,715,70,70,True,0.042,715,70,70
27,True,0.049,749.0,70.0,70.0,True,0.049,749.0,70.0,70.0,True,0.05,749,70,70,True,0.044,749,70,70
28,True,0.052,788.0,70.0,70.0,True,0.049,788.0,70.0,70.0,True,0.051,788,70,70,True,0.046,788,70,70
29,True,0.052,795.0,70.0,70.0,True,0.049,795.0,70.0,70.0,True,0.051,795,70,70,True,0.047,795,70,70
30,True,0.055,812.0,70.0,70.0,True,0.048,812.0,70.0,70.0,True,0.053,812,70,70,True,0.05,812,70,70
31,True,0.052,842.0,70.0,70.0,True,0.054,842.0,70.0,70.0,True,0.054,842,70,70,True,0.053,842,70,70
32,True,0.053,880.0,70.0,70.0,True,0.061,880.0,70.0,70.0,True,0.062,880,70,70,True,0.052,880,70,70
33,True,0.066,904.0,70.0,70.0,True,0.062,904.0,70.0,70.0,True,0.059,905,70,70,True,0.059,905,70,70
34,True,0.066,923.0,70.0,70.0,True,0.065,923.0,70.0,70.0,True,0.061,924,70,70,True,0.058,924,70,70
