agents_count,success_count_cbs,time_cbs,flowtime_cbs,makespan_cbs,SIC_cbs,success_count_cbs_ds,time_cbs_ds,flowtime_cbs_ds,makespan_cbs_ds,SIC_cbs_ds,success_count_ecbs_30,time_ecbs_30,flowtime_ecbs_30,makespan_ecbs_30,SIC_ecbs_30,success_count_ecbs_179,time_ecbs_179,flowtime_ecbs_179,makespan_ecbs_179,SIC_ecbs_179
1,True,0.002,43.0,43.0,43.0,True,0.003,43.0,43.0,43.0,True,0.002,43,43,43,True,0.002,43,43,43
2,True,0.008,221.0,178.0,178.0,True,0.006,221.0,178.0,178.0,True,0.006,221,178,178,True,0.005,221,178,178
3,True,0.01,327.0,178.0,178.0,True,0.009,327.0,178.0,178.0,True,0.01,327,178,178,True,0.009,327,178,178
4,True,0.01,488.0,178.0,178.0,True,0.012,488.0,178.0,178.0,True,0.012,488,178,178,True,0.011,488,178,178
5,True,0.013,527.0,178.0,178.0,True,0.012,527.0,178.0,178.0,True,0.015,527,178,178,True,0.013,527,178,178
6,True,0.017,578.0,178.0,178.0,True,0.015,578.0,178.0,178.0,True,0.018,578,178,178,True,0.016,578,178,178
7,True,0.198,677.0,178.0,178.0,,,,,,True,0.024,677,178,178,True,0.021,677,178,178
8,True,0.42,820.0,178.0,178.0,,,,,,True,0.029,820,178,178,True,0.026,820,178,178
9,True,0.425,853.0,178.0,178.0,,,,,,True,0.031,853,178,178,True,0.028,853,178,178
10,True,0.43,869.0,178.0,178.0,,,,,,True,0.034,869,178,178,True,0.033,869,178,178
11,True,0.475,1028.0,178.0,178.0,,,,,,True,0.037,1028,178,178,True,0.038,1028,178,178
12,True,15.498,1115.0,181.0,181.0,,,,,,True,0.051,1117,178,178,True,0.055,1117,178,178
13,True,14.84,1177.0,181.0,181.0,,,,,,True,0.052,1179,178,178,True,0.06,1179,178,178
14,,,,,,,,,,,True,0.05,1318,178,178,True,0.059,1318,178,178
15,,,,,,,,,,,True,0.055,1414,178,178,True,0.058,1414,178,178
16,,,,,,,,,,,True,0.058,1520,178,178,True,0.066,1520,178,178
17,,,,,,,,,,,True,0.064,1585,178,178,True,0.069,1585,178,178
18,,,,,,,,,,,True,0.077,1716,178,178,True,0.079,1716,178,178
19,,,,,,,,,,,True,0.077,1772,178,178,True,0.08,1772,178,178
20,,,,,,,,,,,True,0.077,1800,178,178,True,0.079,1800,178,178
21,,,,,,,,,,,True,0.081,1991,191,191,True,0.08,1991,191,191
22,,,,,,,,,,,True,0.088,2053,191,191,True,0.087,2053,191,191
23,,,,,,,,,,,True,0.681,2072,191,191,True,0.63,2072,191,191
24,,,,,,,,,,,True,0.694,2259,191,191,True,0.608,2259,191,191
25,,,,,,,,,,,True,0.603,2383,191,191,True,0.612,2383,191,191
26,,,,,,,,,,,True,0.657,2527,191,191,True,0.666,2527,191,191
27,,,,,,,,,,,True,0.639,2536,191,191,True,0.695,2536,191,191
28,,,,,,,,,,,True,0.627,2574,191,191,True,0.624,2574,191,191
29,,,,,,,,,,,True,0.63,2675,191,191,True,0.658,2675,191,191
30,,,,,,,,,,,True,0.65,2778,191,191,True,0.68,2778,191,191
31,,,,,,,,,,,True,0.709,2784,191,191,True,0.696,2784,191,191
32,,,,,,,,,,,True,0.715,2792,191,191,True,0.721,2792,191,191
33,,,,,,,,,,,True,0.717,2836,191,191,True,0.718,2836,191,191
34,,,,,,,,,,,True,0.721,2969,191,191,True,0.727,2969,191,191
35,,,,,,,,,,,True,0.745,3151,191,191,True,0.747,3151,191,191
36,,,,,,,,,,,True,0.763,3240,191,191,True,0.861,3240,191,191
37,,,,,,,,,,,True,0.746,3423,191,191,True,0.87,3423,191,191
38,,,,,,,,,,,True,1.455,3551,191,191,True,1.622,3551,191,191
39,,,,,,,,,,,True,1.45,3601,191,191,True,1.528,3601,191,191
40,,,,,,,,,,,True,1.529,3763,191,191,True,1.681,3763,191,191
41,,,,,,,,,,,True,1.471,3791,191,191,True,1.585,3791,191,191
42,,,,,,,,,,,True,1.497,3976,191,191,True,1.536,3976,191,191
43,,,,,,,,,,,True,1.518,4022,191,191,True,1.614,4022,191,191
44,,,,,,,,,,,True,1.551,4175,191,191,True,1.648,4175,191,191
45,,,,,,,,,,,True,1.595,4336,191,191,True,1.588,4336,191,191
46,,,,,,,,,,,True,1.711,4448,191,191,True,1.619,4448,191,191
47,,,,,,,,,,,True,1.655,4537,191,191,True,1.695,4537,191,191
48,,,,,,,,,,,True,1.771,4646,191,191,True,1.884,4646,191,191
49,,,,,,,,,,,True,1.734,4767,191,191,True,1.737,4767,191,191
50,,,,,,,,,,,True,1.769,4924,191,191,True,1.745,4924,191,191
51,,,,,,,,,,,True,1.77,5128,204,204,True,1.784,5128,204,204
52,,,,,,,,,,,True,2.776,5116,204,204,True,2.704,5116,204,204
53,,,,,,,,,,,True,2.755,5163,204,204,True,2.769,5163,204,204
54,,,,,,,,,,,True,2.807,5270,204,204,True,2.771,5270,204,204
55,,,,,,,,,,,True,2.652,5298,204,204,True,2.727,5298,204,204
56,,,,,,,,,,,True,2.767,5406,204,204,True,2.743,5406,204,204
57,,,,,,,,,,,True,2.799,5616,210,210,True,2.976,5616,210,210
58,,,,,,,,,,,True,2.831,5664,210,210,True,2.779,5664,210,210
59,,,,,,,,,,,True,2.887,5680,210,210,True,2.724,5680,210,210
