agents_count,success_count_cbs,time_cbs,flowtime_cbs,makespan_cbs,SIC_cbs,success_count_cbs_ds,time_cbs_ds,flowtime_cbs_ds,makespan_cbs_ds,SIC_cbs_ds,success_count_ecbs_30,time_ecbs_30,flowtime_ecbs_30,makespan_ecbs_30,SIC_ecbs_30,success_count_ecbs_179,time_ecbs_179,flowtime_ecbs_179,makespan_ecbs_179,SIC_ecbs_179
1,True,0.116,445.0,445.0,445.0,True,0.111,445.0,445.0,445.0,True,0.106,445,445,445,True,0.105,445,445,445
2,True,0.17,617.0,445.0,445.0,True,0.161,617.0,445.0,445.0,True,0.158,617,445,445,True,0.155,617,445,445
3,True,0.228,831.0,445.0,445.0,True,0.214,831.0,445.0,445.0,True,0.213,831,445,445,True,0.21,831,445,445
4,True,0.304,987.0,445.0,445.0,True,0.291,987.0,445.0,445.0,True,0.283,987,445,445,True,0.285,987,445,445
5,True,0.339,1212.0,445.0,445.0,True,0.326,1212.0,445.0,445.0,True,0.317,1212,445,445,True,0.318,1212,445,445
6,True,0.392,1344.0,445.0,445.0,True,0.367,1344.0,445.0,445.0,True,0.372,1344,445,445,True,0.382,1344,445,445
7,True,0.484,1592.0,445.0,445.0,True,0.494,1592.0,445.0,445.0,True,0.47,1592,445,445,True,0.46,1592,445,445
8,True,0.495,1635.0,445.0,445.0,True,0.495,1635.0,445.0,445.0,True,0.471,1635,445,445,True,0.479,1635,445,445
9,True,0.551,2051.0,445.0,445.0,True,0.591,2051.0,445.0,445.0,True,0.575,2051,445,445,True,0.603,2051,445,445
10,True,0.612,2324.0,445.0,445.0,True,0.634,2324.0,445.0,445.0,True,0.625,2324,445,445,True,0.666,2324,445,445
11,True,0.674,2495.0,445.0,445.0,True,0.67,2495.0,445.0,445.0,True,0.697,2495,445,445,True,0.737,2495,445,445
12,True,0.778,2889.0,445.0,445.0,True,0.8,2889.0,445.0,445.0,True,0.833,2889,445,445,True,0.834,2889,445,445
13,True,0.897,2899.0,445.0,445.0,True,0.963,2899.0,445.0,445.0,True,0.917,2899,445,445,True,0.91,2899,445,445
14,True,0.826,3049.0,445.0,445.0,True,0.896,3049.0,445.0,445.0,True,0.844,3049,445,445,True,0.871,3049,445,445
15,True,0.901,3140.0,445.0,445.0,True,0.911,3140.0,445.0,445.0,True,0.9,3140,445,445,True,0.944,3140,445,445
16,True,2.137,3168.0,445.0,445.0,True,2.041,3168.0,445.0,445.0,True,2.476,3168,445,445,True,2.489,3168,445,445
17,True,2.005,3411.0,445.0,445.0,True,2.031,3411.0,445.0,445.0,True,2.338,3411,445,445,True,2.445,3411,445,445
18,True,2.133,3622.0,445.0,445.0,True,2.21,3622.0,445.0,445.0,True,2.412,3622,445,445,True,2.507,3622,445,445
19,True,2.188,3682.0,445.0,445.0,True,2.189,3682.0,445.0,445.0,True,2.587,3682,445,445,True,2.772,3682,445,445
20,True,2.259,3782.0,445.0,445.0,True,2.324,3782.0,445.0,445.0,True,2.56,3782,445,445,True,2.572,3782,445,445
21,True,2.475,4061.0,445.0,445.0,True,2.315,4061.0,445.0,445.0,True,2.748,4061,445,445,True,2.682,4061,445,445
22,True,2.623,4521.0,460.0,460.0,True,2.6,4521.0,460.0,460.0,True,2.799,4521,460,460,True,2.898,4521,460,460
23,True,2.774,4888.0,460.0,460.0,True,2.622,4888.0,460.0,460.0,True,2.856,4888,460,460,True,2.959,4888,460,460
24,True,2.772,5134.0,460.0,460.0,True,2.682,5134.0,460.0,460.0,True,3.031,5134,460,460,True,3.02,5134,460,460
25,True,25.678,5270.0,460.0,460.0,True,24.774,5270.0,460.0,460.0,True,29.529,5270,460,460,True,31.434,5270,460,460
26,True,25.366,5450.0,460.0,460.0,True,26.535,5450.0,460.0,460.0,True,30.109,5450,460,460,True,32.341,5450,460,460
27,True,23.292,5629.0,460.0,460.0,True,23.406,5629.0,460.0,460.0,True,27.064,5629,460,460,True,29.72,5629,460,460
28,True,23.664,5721.0,460.0,460.0,True,24.01,5721.0,460.0,460.0,True,27.989,5721,460,460,True,30.301,5721,460,460
29,True,23.218,5768.0,460.0,460.0,True,23.833,5768.0,460.0,460.0,True,27.895,5768,460,460,True,29.315,5768,460,460
30,True,24.088,5866.0,460.0,460.0,True,23.785,5866.0,460.0,460.0,True,28.14,5866,460,460,True,29.886,5866,460,460
31,True,24.129,6047.0,460.0,460.0,True,25.392,6047.0,460.0,460.0,True,27.812,6047,460,460,True,30.546,6047,460,460
32,True,24.224,6281.0,460.0,460.0,True,24.612,6281.0,460.0,460.0,True,28.182,6281,460,460,True,29.885,6281,460,460
33,True,25.238,6716.0,460.0,460.0,True,24.823,6716.0,460.0,460.0,True,28.389,6716,460,460,True,29.791,6716,460,460
34,True,24.558,6984.0,460.0,460.0,True,25.422,6984.0,460.0,460.0,True,28.167,6984,460,460,True,30.664,6984,460,460
35,True,24.954,7134.0,460.0,460.0,True,25.333,7134.0,460.0,460.0,True,27.623,7134,460,460,True,30.051,7134,460,460
36,True,22.019,7141.0,460.0,460.0,True,21.906,7141.0,460.0,460.0,True,24.573,7141,460,460,True,26.688,7141,460,460
37,True,21.415,7179.0,460.0,460.0,True,21.316,7179.0,460.0,460.0,True,24.991,7179,460,460,True,26.22,7179,460,460
38,True,21.679,7281.0,460.0,460.0,True,21.867,7281.0,460.0,460.0,True,24.476,7281,460,460,True,26.065,7281,460,460
39,True,21.638,7454.0,460.0,460.0,True,22.212,7454.0,460.0,460.0,True,25.688,7454,460,460,True,25.997,7454,460,460
40,True,21.946,7475.0,460.0,460.0,True,21.903,7475.0,460.0,460.0,True,24.945,7475,460,460,True,25.963,7475,460,460
41,True,22.231,7904.0,460.0,460.0,True,22.774,7904.0,460.0,460.0,True,25.792,7904,460,460,True,25.836,7904,460,460
42,True,22.681,8266.0,460.0,460.0,True,22.889,8266.0,460.0,460.0,True,25.884,8266,460,460,True,26.674,8266,460,460
43,True,22.441,8316.0,460.0,460.0,True,22.869,8316.0,460.0,460.0,True,26.123,8316,460,460,True,26.43,8316,460,460
44,True,23.325,8593.0,460.0,460.0,True,23.098,8593.0,460.0,460.0,True,25.651,8593,460,460,True,26.529,8593,460,460
45,True,22.752,8998.0,460.0,460.0,True,23.136,8998.0,460.0,460.0,True,26.682,8998,460,460,True,27.115,8998,460,460
46,True,23.793,9106.0,460.0,460.0,True,23.258,9106.0,460.0,460.0,True,26.124,9106,460,460,True,27.371,9106,460,460
47,True,23.844,9394.0,460.0,460.0,True,24.341,9394.0,460.0,460.0,True,26.971,9394,460,460,True,27.077,9394,460,460
48,True,24.011,9559.0,460.0,460.0,True,23.713,9559.0,460.0,460.0,True,27.391,9559,460,460,True,27.33,9559,460,460
49,True,24.408,9774.0,460.0,460.0,True,24.273,9774.0,460.0,460.0,True,27.18,9774,460,460,True,27.357,9774,460,460
50,True,33.37,10028.0,460.0,460.0,True,33.524,10028.0,460.0,460.0,True,38.615,10028,460,460,True,39.263,10028,460,460
51,True,33.824,10163.0,460.0,460.0,True,33.689,10163.0,460.0,460.0,True,38.929,10163,460,460,True,38.741,10163,460,460
52,True,33.688,10453.0,460.0,460.0,True,33.722,10453.0,460.0,460.0,True,39.695,10453,460,460,True,39.177,10453,460,460
53,True,34.864,10741.0,460.0,460.0,True,35.647,10741.0,460.0,460.0,True,39.935,10741,460,460,True,39.547,10741,460,460
